path,name,date,duration,rank,eliminations,expected_name,expected_date,expected_duration,expected_rank,expected_eliminations,is_valid,path
Kappa_Army___BliTztangBliTz___4.png,Rediffusion non sauvegardée,01/06/201 8 1 9:48,01 :46,46/96,0,Rediffusion non sauvegardée,01/06/2018 19:48,01:46,46/96,0,,Kappa_Army___BliTztangBliTz___4.png
Kappa_Army___XxGamer_62350___5.png,Rediffusion nan sauvegardée,01 /06/ 201 8 21:43,24:50,0/0,.,Rediffusion nan sauvegardée,01/06/2018 21:43,24:50,0/0,6,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Rediffusion non sauvegardée,01/06/2018 21:14,21 :42,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:14,21:42,0/0,2,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Rediffusion non sauvegardée,01/06/2018 20:37,26:12,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:37,26:12,0/0,0,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:24,0/0,3,Rediffusion non sauvegardée,01/06/2018 20:07,23:24,0/0,3,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Rediffusion non sauvegardée,01/06/2018 19:48,01 :42,46/ 96,0,Rediffusion non sauvegardée,01/06/2018 19:48,01:42,46/96,0,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Snip,31/05/2018 20:06,19:11,1/98,18,Snip,31/05/2018 20:06,19:11,1/98,18,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Build,30/05/201819:39,19:35,3/92,11,Build,30/05/2018 19:39,19:35,3/92,11,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,5,27/05/201817:25,04:27,15/91,5,5,27/05/2018 17:25,04:27,15/91,5,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Snip,25/05/2018 21:05,15:32,5/97,10,Snip,25/05/2018 21:05,15:32,5/97,10,,Kappa_Army___XxGamer_62350___5.png
Kappa_Army___XxGamer_62350___5.png,Rediffusion non sauvegardée,21/05/2018 22:51,18:13,3/100,:,Rediffusion non sauvegardée,21/05/2018 22:51,18:13,3/100,8,,Kappa_Army___XxGamer_62350___5.png
Les_Bush___ramzy30___0.png,Rediffusion non sauvegardée,01/06/2018 20107,73:33,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:07,23:33,0/0,1,,Les_Bush___ramzy30___0.png
Les_Bush___ramzy30___0.png,Rediffusion non sauvegardée,01/06/2018 19:32,22:35,O/O,2,Rediffusion non sauvegardée,01/06/2018 19:32,22:35,0/0,2,,Les_Bush___ramzy30___0.png
Les_Bush___ramzy30___0.png,Rediffusion non sauvegardée,01/06/2018 19102,08:38,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:02,08:38,0/0,0,,Les_Bush___ramzy30___0.png
Les_Bush___ramzy30___0.png,Rediffusion non sauvegardée,01/06/2018 18:42,19:45,3/97,7,Rediffusion non sauvegardée,01/06/2018 18:42,19:45,3/97,7,,Les_Bush___ramzy30___0.png
Les_Bush___ramzy30___0.png,Rediffusion non sauvegardée,01/06/2018 18:39,01:59,45/ 97,2,Rediffusion non sauvegardée,01/06/2018 18:39,01:59,45/97,2,,Les_Bush___ramzy30___0.png
Les_Bush___ramzy30___0.png,Bouquet de fleur,20/05/2018 16:35,18:39,1/100,5,Bouquet de fleur,20/05/2018 16:35,18:39,1/100,5,,Les_Bush___ramzy30___0.png
Les_Loubards___Louis58800___9.png,“… u…>|u…… aanvu … ….,29/05/2018 19:27,00:04,0/0,0,“… u…>|u…… aanvu … ….,29/05/2018 19:27,00:04,0/0,0,,Les_Loubards___Louis58800___9.png
Les_Loubards___Louis58800___9.png,Rediffusion non sauvegardée,29/05/201819;17,09:20,11/99,2,Rediffusion non sauvegardée,29/05/2018 19:17,09:20,11/99,2,,Les_Loubards___Louis58800___9.png
Les_Loubards___Louis58800___9.png,Rediffusion non sauvegardée,29/05/2018 18:55,19:43,1/90,2,Rediffusion non sauvegardée,29/05/2018 18:56,19:43,1/90,2,,Les_Loubards___Louis58800___9.png
Les_Loubards___Louis58800___9.png,Rediffusion non sauvegardée,29/05/2018 18:52,03:16,23/98,1,Rediffusion non sauvegardée,29/05/2018 18:52,03:16,23/98,1,,Les_Loubards___Louis58800___9.png
Les_Loubards___Louis58800___9.png,Rediffusion non sauvegardée,29/05/2018 18:49,02:42,25/96,0,Rediffusion non sauvegardée,29/05/2018 18:49,02:42,25/96,0,,Les_Loubards___Louis58800___9.png
Les_Loubards___MiisterBoard___0.png,Rediffusion non sauvegardée,01 / 06/ 201 8 21:43,24:13,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:43,24:13,0/0,2,,Les_Loubards___MiisterBoard___0.png
Les_Loubards___MiisterBoard___0.png,Rediffusion non sauvegardée,01/06/2018 21:14,04:08,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:14,04:08,0/0,2,,Les_Loubards___MiisterBoard___0.png
Les_Loubards___MiisterBoard___0.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:20,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:36,26:20,0/0,2,,Les_Loubards___MiisterBoard___0.png
Les_Loubards___MiisterBoard___0.png,Rediﬁusiun non sauvegardée,01 /06/ 201 8 20:07,73133,0/0,1,Rediﬁusiun non sauvegardée,01/06/2018 20:07,23:33,0/0,1,,Les_Loubards___MiisterBoard___0.png
Les_Loubards___MiisterBoard___0.png,Rediffusion non sauvegardée,01/06/2018 19:32,22:30,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:32,22:30,0/0,0,,Les_Loubards___MiisterBoard___0.png
Les_merguez___Le_Pere_Vert___1.png,Rediffusion non sauvegardée,01 /06/ 201 8 20107,73131,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:31,0/0,0,,Les_merguez___Le_Pere_Vert___1.png
Les_merguez___Le_Pere_Vert___1.png,Rediffusion non sauvegardée,01/06/2018 19:33,22:28,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:33,22:28,0/0,0,,Les_merguez___Le_Pere_Vert___1.png
Les_mugiwara___romainguigui___6.png,Rediffusion nan sauvegardée,01/06/2018 21114,22222,0/0,1,Rediffusion nan sauvegardée,01/06/2018 21:14,22:22,0/0,1,,Les_mugiwara___romainguigui___6.png
Les_mugiwara___romainguigui___6.png,Rediffusion non sauvegardée,01/06/2018 20137,26:11,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:37,26:11,0/0,2,,Les_mugiwara___romainguigui___6.png
Les_mugiwara___romainguigui___6.png,Rediffusion non sauvegardée,01/06/2018 20:07,13101,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,13:01,0/0,0,,Les_mugiwara___romainguigui___6.png
Les_mugiwara___romainguigui___6.png,Rediffusion non sauvegardée,01/06/2018 00:08,4106,20/99,2,Rediffusion non sauvegardée,01/06/2018 00:08,04:06,20/99,2,,Les_mugiwara___romainguigui___6.png
Les_mugiwara___romainguigui___6.png,Rediffusion non sauvegardée,01/06/2018 00:04,02:55,24/98,1,Rediffusion non sauvegardée,01/06/2018 00:04,02:55,24/98,1,,Les_mugiwara___romainguigui___6.png
Le_clan_des_croustillant___dark_corones___0.png,Rediffusion non sauvegardée,01 /06/ 201 8 21143,24:31,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:43,24:31,0/0,0,,Le_clan_des_croustillant___dark_corones___0.png
Le_clan_des_croustillant___dark_corones___0.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:30,0/0,1,Rediffusion non sauvegardée,01/06/2018 21:14,21:30,0/0,1,,Le_clan_des_croustillant___dark_corones___0.png
Le_clan_des_croustillant___dark_corones___0.png,Rediffusion non sauvegardée,01/06/2018 20:36,27:00,0/0,.,Rediffusion non sauvegardée,01/06/2018 20:36,27:00,0/0,6,,Le_clan_des_croustillant___dark_corones___0.png
Le_clan_des_croustillant___dark_corones___0.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:43,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:43,0/0,0,,Le_clan_des_croustillant___dark_corones___0.png
Le_clan_des_croustillant___dark_corones___0.png,Rediffusion non sauvegardée,01/06/2018 19:32,22:42,0/0,1,Rediffusion non sauvegardée,01/06/2018 19:32,22:42,0/0,1,,Le_clan_des_croustillant___dark_corones___0.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/201 8 21243,24200,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:43,24:00,0/0,0,,Le_clan_des_croustillant___I_amOpaZ___8.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:31,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:31,0/0,0,,Le_clan_des_croustillant___I_amOpaZ___8.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/2018 20:36,27:18,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:36,27:18,0/0,2,,Le_clan_des_croustillant___I_amOpaZ___8.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/2018 20:07,08:43,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:07,23:43,0/0,1,,Le_clan_des_croustillant___I_amOpaZ___8.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/201819:32,22:44,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:32,22:44,0/0,0,,Le_clan_des_croustillant___I_amOpaZ___8.png
MenInBlack___KenXGamer___9.png,Rediﬁusiun non sauvegardée,01 /06/ 201 8 21 :43,11142,0/0,1,Rediﬁusiun non sauvegardée,01/06/2018 21:43,11:42,0/0,1,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:25,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:25,0/0,0,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01/06/2018 20:37,26:15,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:37,26:15,0/0,0,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:21,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:07,23:21,0/0,2,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01 / 06/ 201 S 1 8:48,08:21,16/96,5,Rediffusion non sauvegardée,01/06/2018 18:48,08:21,16/96,5,,MenInBlack___KenXGamer___9.png
MenInBlack___lolo200123___0.png,Æ,code,sera,donné,d,Æ,code,sera,donné,d,,MenInBlack___lolo200123___0.png
MenInBlack___lolo200123___0.png,Rediffusion nan sauvegardée,01/06/2018 20:37,26:21,O/O,O,Rediffusion nan sauvegardée,01/06/2018 20:37,26:21,0/0,0,,MenInBlack___lolo200123___0.png
MenInBlack___lolo200123___0.png,Rediffusion non sauvegardée,01/06/2018 20:07,08:22,0/0,O,Rediffusion non sauvegardée,01/06/2018 20:07,23:22,0/0,0,,MenInBlack___lolo200123___0.png
MenInBlack___lolo200123___0.png,Rediffusion non sauvegardée,01/06/201818:15,19:16,5/92,2,Rediffusion non sauvegardée,01/06/2018 18:15,19:16,5/92,2,,MenInBlack___lolo200123___0.png
MeteOr___Aym-OM15___1.png,Rediffusinn non sauvegardée,01 /06/ 201 8 21:43,1 0232,0/0,0,Rediffusinn non sauvegardée,01/06/2018 21:43,10:32,0/0,0,,MeteOr___Aym-OM15___1.png
MeteOr___Aym-OM15___1.png,Rediffusion non sauvegardée,01/06/2018 21:14,10:49,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,10:49,0/0,0,,MeteOr___Aym-OM15___1.png
MeteOr___Aym-OM15___1.png,Rediffusion non sauvegardée,01/06/2018 20:07,24:07,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,24:07,0/0,0,,MeteOr___Aym-OM15___1.png
MeteOr___Aym-OM15___1.png,Top126 kills,13/05/201818:00,19:50,1/99,10,Top126 kills,13/05/2018 18:00,19:50,1/99,10,,MeteOr___Aym-OM15___1.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/201 8 21243,06:38,DID,|,Rediffusion non sauvegardée,01/06/2018 21:43,06:38,0/0,0,,Oxyde_1___Oxyde_LA____5.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:58,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:58,0/0,0,,Oxyde_1___Oxyde_LA____5.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/2018 20:37,27:03,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:37,27:03,0/0,1,,Oxyde_1___Oxyde_LA____5.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:42,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:07,23:42,0/0,1,,Oxyde_1___Oxyde_LA____5.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01 /06/ 201 8 21143,13:39,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:43,13:39,0/0,2,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:26,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:14,21:26,0/0,2,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:19,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:36,26:19,0/0,0,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:31,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:31,0/0,0,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,11,13/05/2018 00:47,24:26,1/92,5,11,13/05/2018 00:47,24:26,1/92,5,,Poulet_braisé___guigui280101___6.png
Reborn___Corboh___8.png,Rediffusion non sauvegardée,01/06/2018 20:43,11147,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:43,11:47,0/0,1,,Reborn___Corboh___8.png
Reborn___Corboh___8.png,Rediffusion non sauvegardée,01/06/2018 20:14,21:35,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:14,21:35,0/0,0,,Reborn___Corboh___8.png
Reborn___Corboh___8.png,Rediffusiun non sauvegardée,01/06/201 8 1 9136,26:18,0/0,O,Rediffusiun non sauvegardée,01/06/2018 19:36,26:18,0/0,0,,Reborn___Corboh___8.png
Reborn___Corboh___8.png,Rediffusion non sauvegardée,01/06/2018 19:07,23:27,0/0,1,Rediffusion non sauvegardée,01/06/2018 19:07,23:27,0/0,1,,Reborn___Corboh___8.png
Requinium___FunaTiik-_-80200___8.png,Rediffusion non sauvegardée,01/06/201 ! 21143,24125,0/0,.,Rediffusion non sauvegardée,01/06/2018 21:43,24:25,0/0,4,,Requinium___FunaTiik-_-80200___8.png
Requinium___FunaTiik-_-80200___8.png,Rediffusion non sauvegardée,01/06/2018 21 :14,22:16,O/O,.,Rediffusion non sauvegardée,01/06/2018 21:14,22:16,0/0,4,,Requinium___FunaTiik-_-80200___8.png
Requinium___FunaTiik-_-80200___8.png,Rediﬁusinn non sauvegardée,01/06/2018 20:37,26:11,O/O,1,Rediﬁusinn non sauvegardée,01/06/2018 20:37,26:11,0/0,1,,Requinium___FunaTiik-_-80200___8.png
Requinium___FunaTiik-_-80200___8.png,Rediffusion non sauvegardée,01 / 06/ 201 8 20107,23:28,O/O,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:28,0/0,0,,Requinium___FunaTiik-_-80200___8.png
Rkzoo29___gillout29___3.png,liediﬁusion nan sauvegardée,01/06/2018 21 :14,21:29,O/O,O,liediﬁusion nan sauvegardée,01/06/2018 21:14,21:29,0/0,0,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion nan sauvegardée,01/06/2018 20:36,26:48,O/O,3,Rediffusion nan sauvegardée,01/06/2018 20:36,26:48,0/0,3,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion nan sauvegardée,01 /06/ 201 8 20107,73137,0/0,5,Rediffusion nan sauvegardée,01/06/2018 20:07,23:37,0/0,5,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion nan sauvegardée,01/06/2018 19:32,B:O1,O/O,1,Rediffusion nan sauvegardée,01/06/2018 19:32,23:01,0/0,1,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion non sauvegardée,01/06/2018 18:40,07:14,O/O,O,Rediffusion non sauvegardée,01/06/2018 18:40,07:14,0/0,0,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Mort de la zone,26/05/2018 00:39,24:22,1/94,7,Mort de la zone,26/05/2018 00:39,24:22,1/94,7,,Rkzoo29___gillout29___3.png
Rkzoo29___Mehdi2959___6.png,Rediffusion nan sauvegardée,01/06/2018 21114,21140,0/0,3,Rediffusion nan sauvegardée,01/06/2018 21:14,21:40,0/0,3,,Rkzoo29___Mehdi2959___6.png
